"Label (Grouping)","Total:","Total:!!Income in the past 12 months below poverty level","Total:!!Income in the past 12 months at or above the poverty level"
"New York","","",""
"    Estimate","13,369,457","1,527,076","11,842,381"
"    Margin of Error","±13,697","±13,273","±17,271"
"Albany County, New York","","",""
"    Estimate","221,641","23,938","197,703"
"    Margin of Error","±1,130","±1,567","±1,621"
"Allegany County, New York","","",""
"    Estimate","32,085","4,416","27,669"
"    Margin of Error","±417","±398","±465"
"Bronx County, New York","","",""
"    Estimate","832,207","190,126","642,081"
"    Margin of Error","±4,959","±4,917","±6,054"
"Broome County, New York","","",""
"    Estimate","140,517","22,190","118,327"
"    Margin of Error","±754","±1,406","±1,414"
"Cattaraugus County, New York","","",""
"    Estimate","57,340","8,423","48,917"
"    Margin of Error","±287","±644","±664"
"Cayuga County, New York","","",""
"    Estimate","57,255","6,206","51,049"
"    Margin of Error","±443","±549","±673"
"Chautauqua County, New York","","",""
"    Estimate","95,780","14,778","81,002"
"    Margin of Error","±471","±1,037","±1,081"
"Chemung County, New York","","",""
"    Estimate","60,943","7,883","53,060"
"    Margin of Error","±599","±709","±829"
"Chenango County, New York","","",""
"    Estimate","36,758","4,469","32,289"
"    Margin of Error","±146","±451","±445"
"Clinton County, New York","","",""
"    Estimate","57,287","6,602","50,685"
"    Margin of Error","±490","±700","±852"
"Columbia County, New York","","",""
"    Estimate","46,706","4,037","42,669"
"    Margin of Error","±374","±443","±621"
"Cortland County, New York","","",""
"    Estimate","34,945","4,719","30,226"
"    Margin of Error","±390","±442","±532"
"Delaware County, New York","","",""
"    Estimate","34,548","4,762","29,786"
"    Margin of Error","±329","±466","±545"
"Dutchess County, New York","","",""
"    Estimate","210,884","16,680","194,204"
"    Margin of Error","±1,562","±1,158","±1,831"
"Erie County, New York","","",""
"    Estimate","686,640","78,811","607,829"
"    Margin of Error","±1,642","±2,988","±3,146"
"Essex County, New York","","",""
"    Estimate","28,310","2,438","25,872"
"    Margin of Error","±435","±366","±474"
"Franklin County, New York","","",""
"    Estimate","35,305","5,331","29,974"
"    Margin of Error","±354","±566","±634"
"Fulton County, New York","","",""
"    Estimate","41,819","5,494","36,325"
"    Margin of Error","±194","±535","±547"
"Genesee County, New York","","",""
"    Estimate","44,685","4,452","40,233"
"    Margin of Error","±238","±495","±536"
"Greene County, New York","","",""
"    Estimate","36,127","3,928","32,199"
"    Margin of Error","±303","±557","±679"
"Hamilton County, New York","","",""
"    Estimate","3,821","334","3,487"
"    Margin of Error","±39","±125","±133"
"Herkimer County, New York","","",""
"    Estimate","47,788","5,610","42,178"
"    Margin of Error","±256","±586","±654"
"Jefferson County, New York","","",""
"    Estimate","77,088","9,523","67,565"
"    Margin of Error","±533","±650","±762"
"Kings County, New York","","",""
"    Estimate","1,645,596","268,685","1,376,911"
"    Margin of Error","±4,907","±4,740","±6,277"
"Lewis County, New York","","",""
"    Estimate","20,008","2,193","17,815"
"    Margin of Error","±111","±284","±313"
"Livingston County, New York","","",""
"    Estimate","45,697","5,229","40,468"
"    Margin of Error","±490","±608","±636"
"Madison County, New York","","",""
"    Estimate","51,909","4,248","47,661"
"    Margin of Error","±419","±474","±614"
"Monroe County, New York","","",""
"    Estimate","545,762","64,175","481,587"
"    Margin of Error","±1,501","±2,381","±2,609"
"Montgomery County, New York","","",""
"    Estimate","36,696","5,286","31,410"
"    Margin of Error","±205","±532","±567"
"Nassau County, New York","","",""
"    Estimate","955,993","42,770","913,223"
"    Margin of Error","±2,697","±2,169","±3,467"
"New York County, New York","","",""
"    Estimate","1,148,713","163,051","985,662"
"    Margin of Error","±3,615","±4,573","±5,605"
"Niagara County, New York","","",""
"    Estimate","162,245","18,261","143,984"
"    Margin of Error","±493","±1,093","±1,113"
"Oneida County, New York","","",""
"    Estimate","163,962","19,700","144,262"
"    Margin of Error","±956","±1,273","±1,545"
"Onondaga County, New York","","",""
"    Estimate","334,293","37,567","296,726"
"    Margin of Error","±1,469","±1,759","±1,864"
"Ontario County, New York","","",""
"    Estimate","83,324","6,977","76,347"
"    Margin of Error","±417","±832","±968"
"Orange County, New York","","",""
"    Estimate","259,780","24,211","235,569"
"    Margin of Error","±1,516","±1,856","±2,396"
"Orleans County, New York","","",""
"    Estimate","29,694","3,650","26,044"
"    Margin of Error","±258","±472","±514"
"Oswego County, New York","","",""
"    Estimate","87,744","12,227","75,517"
"    Margin of Error","±440","±852","±889"
"Otsego County, New York","","",""
"    Estimate","44,522","5,498","39,024"
"    Margin of Error","±510","±619","±667"
"Putnam County, New York","","",""
"    Estimate","73,068","3,893","69,175"
"    Margin of Error","±635","±561","±789"
"Queens County, New York","","",""
"    Estimate","1,383,989","133,007","1,250,982"
"    Margin of Error","±6,574","±3,733","±7,115"
"Rensselaer County, New York","","",""
"    Estimate","119,356","11,142","108,214"
"    Margin of Error","±619","±776","±974"
"Richmond County, New York","","",""
"    Estimate","333,292","29,713","303,579"
"    Margin of Error","±1,961","±1,587","±2,255"
"Rockland County, New York","","",""
"    Estimate","204,876","18,026","186,850"
"    Margin of Error","±1,525","±950","±1,691"
"St. Lawrence County, New York","","",""
"    Estimate","74,676","11,171","63,505"
"    Margin of Error","±611","±822","±824"
"Saratoga County, New York","","",""
"    Estimate","176,009","10,289","165,720"
"    Margin of Error","±745","±899","±1,126"
"Schenectady County, New York","","",""
"    Estimate","113,176","11,074","102,102"
"    Margin of Error","±757","±920","±1,042"
"Schoharie County, New York","","",""
"    Estimate","24,248","2,659","21,589"
"    Margin of Error","±267","±363","±414"
"Schuyler County, New York","","",""
"    Estimate","14,222","1,854","12,368"
"    Margin of Error","±64","±275","±276"
"Seneca County, New York","","",""
"    Estimate","24,449","2,835","21,614"
"    Margin of Error","±279","±377","±463"
"Steuben County, New York","","",""
"    Estimate","72,583","8,028","64,555"
"    Margin of Error","±288","±480","±546"
"Suffolk County, New York","","",""
"    Estimate","1,066,226","59,620","1,006,606"
"    Margin of Error","±3,052","±2,714","±3,516"
"Sullivan County, New York","","",""
"    Estimate","54,281","6,362","47,919"
"    Margin of Error","±516","±697","±787"
"Tioga County, New York","","",""
"    Estimate","37,704","3,553","34,151"
"    Margin of Error","±160","±454","±476"
"Tompkins County, New York","","",""
"    Estimate","68,666","12,123","56,543"
"    Margin of Error","±778","±935","±1,031"
"Ulster County, New York","","",""
"    Estimate","135,157","17,142","118,015"
"    Margin of Error","±728","±950","±1,148"
"Warren County, New York","","",""
"    Estimate","51,084","4,164","46,920"
"    Margin of Error","±243","±484","±541"
"Washington County, New York","","",""
"    Estimate","46,367","4,802","41,565"
"    Margin of Error","±310","±564","±594"
"Wayne County, New York","","",""
"    Estimate","69,474","6,892","62,582"
"    Margin of Error","±198","±688","±714"
"Westchester County, New York","","",""
"    Estimate","642,288","45,499","596,789"
"    Margin of Error","±2,774","±2,226","±3,395"
"Wyoming County, New York","","",""
"    Estimate","29,697","2,405","27,292"
"    Margin of Error","±325","±384","±431"
"Yates County, New York","","",""
"    Estimate","18,152","1,945","16,207"
"    Margin of Error","±199","±347","±403"
